y (cm),0.50 V,0.75 V,1.00 V,1.25 V,1.50 V,1.75 V,2.00 V
0,3,5.3,7.4,9.3,11.5,13.6,16.4
2,3.4,5.3,7.5,9.3,11.5,13.4,16
4,3.5,5.5,7.5,9.3,11.4,13.4,15.6
6,3.5,5.5,7.5,9.4,11.4,13.5,15.5
8,3.6,5.6,7.5,9.4,11.3,13.3,15.2
10,3.5,5.6,7.5,9.4,11.2,13.2,15.1
12,3.6,5.6,7.5,9.4,11.1,13.2,15
y (cm),0.50 V,1.00 V,1.50 V,2.00 V,2.50 V,3.00 V,3.50 V
0,2.0,4.4,5.8,8.8,11.7,15,17.9
2,2.5,4.8,6,8.7,11.5,14.5,17.3
4,2.7,4.8,6.1,8.6,11.4,14.2,16.9
6,2.8,4.9,6,8.4,11.2,13.8,16.6
8,2.5,4.8,5.9,8.3,10.8,13.4,16
10,2.4,4.7,5.9,8.3,10.6,13.1,15.6
12,2.3,4.6,5.9,8.2,10.4,12.2,15
y (cm),EL 1,EL 2,EL 3,EL 4,EL 5,EL 6,EL 7
0,3,5.3,7.4,9.3,11.5,13.6,16.4
2,3.4,5.3,7.5,9.3,11.5,13.4,16
4,3.5,5.5,7.5,9.3,11.4,13.4,15.6
6,3.5,5.5,7.5,9.4,11.4,13.5,15.5
8,3.6,5.6,7.5,9.4,11.3,13.3,15.2
10,3.5,5.6,7.5,9.4,11.2,13.2,15.1
12,3.6,5.6,7.5,9.4,11.1,13.2,15
