x (cm),ddp (V)
0,0.12
0.5,0.16
1,0.22
1.5,0.3
2,0.38
2.5,0.43
3,0.54
3.5,0.59
4,0.7
4.5,0.75
5,0.79
5.5,0.86
6,0.92
6.5,1
7,1.3
7.5,1.4
8,1.4
8.5,1.4
9,1.4
9.5,1.4
10,1.4
10.5,1.4
11,1.4
11.5,1.4
12,1.4
12.5,1.54
13,1.62
13.5,1.71
14,1.8
14.5,1.88
15,1.96
15.5,2.03
16,2.12
16.5,2.19
17,2.27
17.5,2.33
18,2.4
18.5,2.49
19,2.53
x (cm),ddp (V)
0,0.09
0.5,0.15
1,0.21
1.5,0.27
2,0.34
2.5,0.4
3,0.46
3.5,0.53
4,0.6
4.5,0.67
5,0.73
5.5,0.8
6,0.88
6.5,0.92
7,0.99
7.5,1.05
8,1.12
8.5,1.19
9,1.25
9.5,1.32
10,1.38
10.5,1.4
11,1.51
11.5,1.57
12,1.64
12.5,1.7
13,1.76
13.5,1.83
14,1.9
14.5,1.96
15,2.03
15.5,2.1
16,2.17
16.5,2.24
17,2.3
17.5,2.37
18,2.44
18.5,2.5
19,2.56
x (cm),ddp (V)
0,0.11
0.5,0.19
1,0.28
1.5,0.38
2,0.48
2.5,0.59
3,0.65
3.5,0.76
4,0.86
4.5,0.94
5,1.05
5.5,1.17
6,1.26
6.5,1.36
7,1.47
7.5,1.58
8,1.7
8.5,1.75
9,1.92
9.5,2.06
10,2.17
10.5,2.3
11,2.43
11.5,2.58
12,2.7
12.5,2.85
13,3.02
13.5,3.33
14,3.93
14.5,3.93
15,3.93
15.5,3.93
16,3.93
16.5,3.93
17,3.93
17.5,3.93
18,3.93
18.5,3.93
19,3.93
